,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.02385544776916504,0.005233097907163901,0.011858797073364258,0.00386132884294553,0.001,0.0,"{'model__C': 0.001, 'model__l1_ratio': 0}",0.9659750837369575,0.9517160145526393,0.9580982830076968,0.9624098718337741,0.9646832424263889,0.9605764991114913,0.005177278316381063,8,0.9741041804910419,0.9707526398723161,0.9647863764050524,0.9631988841828034,0.9628991892741992,0.9671482540450826,0.00448568945951174
1,0.025544166564941406,0.00961978173129609,0.011763191223144532,0.0029060259433830947,0.001,0.25,"{'model__C': 0.001, 'model__l1_ratio': 0.25}",0.966528109111063,0.9499693653643384,0.956840734162226,0.9620305749418412,0.9616962999693041,0.9594130167097547,0.005630074984562123,27,0.9717153284671532,0.9691592787674104,0.9628305937542632,0.9613243904158466,0.9613708679634374,0.9652800918736222,0.004321805354511259
2,0.02899823188781738,0.007152508539351016,0.010913753509521484,0.003382667093668013,0.001,0.5,"{'model__C': 0.001, 'model__l1_ratio': 0.5}",0.966528109111063,0.9499693653643384,0.956840734162226,0.9620305749418412,0.9616962999693041,0.9594130167097547,0.005630074984562123,27,0.9717153284671532,0.9691592787674104,0.9628305937542632,0.9613243904158466,0.9613708679634374,0.9652800918736222,0.004321805354511259
3,0.022078895568847658,0.006651860749142767,0.010387802124023437,0.0028804203729159445,0.001,0.75,"{'model__C': 0.001, 'model__l1_ratio': 0.75}",0.5,0.9499693653643384,0.956840734162226,0.9620305749418412,0.9616962999693041,0.866107394887542,0.18310570105050702,29,0.5,0.9691592787674104,0.9628305937542632,0.9613243904158466,0.9613708679634374,0.8709370261801915,0.18549095471712257
4,0.02156538963317871,0.007898495570964925,0.008800029754638672,0.0016793474344513493,0.001,1.0,"{'model__C': 0.001, 'model__l1_ratio': 1}",0.5,0.9499693653643384,0.956840734162226,0.9620305749418412,0.9616962999693041,0.866107394887542,0.18310570105050702,29,0.5,0.9691592787674104,0.9628305937542632,0.9613243904158466,0.9613708679634374,0.8709370261801915,0.18549095471712257
5,0.019672489166259764,0.007662103941526379,0.009370517730712891,0.0022520694108405194,0.01,0.0,"{'model__C': 0.01, 'model__l1_ratio': 0}",0.9660931588712981,0.9520081122415053,0.9582095914742451,0.9621353331310416,0.9649122807017543,0.9606716952839689,0.005111490862070939,6,0.9745923784244953,0.9709772336025669,0.9649794779899954,0.9633203949859616,0.9630073738164214,0.9673753717638881,0.004611315290859086
6,0.022645950317382812,0.00515894254267173,0.013355588912963868,0.0063496569718720025,0.01,0.25,"{'model__C': 0.01, 'model__l1_ratio': 0.25}",0.9670690860020724,0.9517112649967228,0.9581835405565424,0.9619860226085031,0.9649335316757572,0.9607766891679196,0.005426645742046243,4,0.9732273201251302,0.9703763259093956,0.9646259881887522,0.9631140348398394,0.9628242519215398,0.9668335841969314,0.004200336910545248
7,0.018721389770507812,0.00403662823985986,0.007363319396972656,0.00040002874986311504,0.01,0.5,"{'model__C': 0.01, 'model__l1_ratio': 0.5}",0.966528109111063,0.9505773085216532,0.9578827708703375,0.9620642902211242,0.9645321243890345,0.9603169206226425,0.005660127819033308,24,0.9717153284671532,0.9696078689041618,0.9642975300744461,0.9628913146100604,0.9626176614222604,0.9662259406956164,0.0037263653734677616
8,0.0900613784790039,0.09299884317899096,0.042911100387573245,0.043895181357112484,0.01,0.75,"{'model__C': 0.01, 'model__l1_ratio': 0.75}",0.966528109111063,0.9499693653643384,0.9574754292480757,0.9621654360589728,0.964043351986966,0.960036338353883,0.005841823405029225,25,0.9717153284671532,0.9691592787674104,0.963834774973081,0.9626407078740488,0.9624390710668456,0.9659578322297078,0.0037759869990521937
9,0.15460948944091796,0.028511174508700776,0.08081960678100586,0.0168337798356988,0.01,1.0,"{'model__C': 0.01, 'model__l1_ratio': 1}",0.966528109111063,0.9499693653643384,0.9569780935464772,0.962283439536463,0.9633160964321976,0.9598150207981078,0.005803469023137343,26,0.9717153284671532,0.9691592787674104,0.9630949495591642,0.9622349777993665,0.9621810118193044,0.9656771092824797,0.0039830669263700505
